550126003,coco_train2014_000000550126.npz,"['What', 'is', 'this', 'room', ""@@'"", '@@s', 'use', '@@?']",bathroom,"['What', 'is', 'this', '[MASK]', 'use', '@@?']",shower
VG_861829,vg_000002324315.npz,"['How', 'many', 'w', '@@##reath', '@@##s', 'are', 'visible', '@@?']",2,"['How', 'many', '[MASK]', 'are', 'visible', '@@?']",3
73348000,coco_train2014_000000073348.npz,"['Is', 'the', 'kicks', '@@##tan', '@@##d', 'down', 'on', 'the', 'motorcycle', 'in', 'the', 'fore', '@@##ground', '@@?']",yes,"['Is', 'the', '[MASK]', 'down', 'on', 'the', 'motorcycle', 'in', 'the', 'fore', '##ground', '@@?']",no
146910002,coco_val2014_000000146910.npz,"['What', 'is', 'on', 'the', 'man', ""@@'"", '@@s', 'eye', ""@@'"", '@@s', '@@?']",sunglasses,"['What', 'is', 'on', 'the', '[MASK]', '[MASK]', '@@?']",paper
406326001,coco_train2014_000000406326.npz,"['Is', 'this', 'bed', 'in', 'di', '@@##sar', '@@##ray', '@@?']",no,"['Is', 'this', 'bed', 'in', '[MASK]', '@@?']",yes
VG_1240382,vg_000002401270.npz,"['What', 'pattern', 'is', 'on', 'the', 'z', '@@##eb', '@@##ra', '@@?']",stripes,"['What', 'pattern', 'is', 'on', 'the', '[MASK]', '@@?']",zebra
VG_1144713,vg_000002413274.npz,"['How', 'many', 'pro', '@@##ng', '@@##s', 'on', 'the', 'fork', '@@?']",4,"['How', 'many', '[MASK]', 'on', 'the', 'fork', '@@?']",3
572174007,coco_train2014_000000572174.npz,"['In', 'what', 'position', 'are', 'the', 'woman', ""@@'"", '@@s', 'thumbs', '@@?']",up,"['In', 'what', 'position', 'are', 'the', '[MASK]', 'thumbs', '@@?']",left
455558002,coco_train2014_000000455558.npz,"['What', 'color', 'are', 'the', 'young', 'man', ""@@'"", '@@s', 'shoe', '@@##lace', '@@##s', '@@?']",brown,"['What', 'color', 'are', 'the', 'young', 'man', ""'"", 's', '[MASK]', '@@?']",black
VG_1110312,vg_000002410395.npz,"['What', 'color', 'is', 'the', 'goat', ""@@'"", '@@s', 'torso', '@@?']",black,"['What', 'color', 'is', 'the', '[MASK]', 'torso', '@@?']",white
516712008,coco_train2014_000000516712.npz,"['Are', 'the', 'workers', 'wearing', 'v', '@@##is', '@@##ors', '@@?']",no,"['Are', 'the', 'workers', 'wearing', '[MASK]', '@@?']",yes
VG_1593764,vg_000002398781.npz,"['Who', 'is', 'the', 'snow', '@@##board', '@@##er', '@@?']",man,"['Who', 'is', 'the', '[MASK]', '@@?']",snowboarder
362023001,coco_val2014_000000362023.npz,"['Is', 'there', 'a', 'good', 'chance', 'this', 'chair', 'frequently', 'gets', 'p', '@@##oop', '@@##ed', 'on', '@@?']",yes,"['Is', 'there', 'a', 'good', 'chance', 'this', 'chair', 'frequently', 'gets', '[MASK]', 'on', '@@?']",no
VG_1211138,vg_000002399927.npz,"['What', 'is', 'in', 'the', 'guitarist', ""@@'"", '@@s', 'lap', '@@##el', '@@?']",flower,"['What', 'is', 'in', 'the', '[MASK]', 'lap', '##el', '@@?']",tie
