VG_1512902,vg_000002395781.npz,"['What', 'food', 'is', 'being', 'g', '@@##rille', '@@##d', '@@?']",sausage,"['What', 'food', 'is', 'being', '[MASK]', '@@?']",chicken
100753002,coco_train2014_000000100753.npz,"['Is', 'this', 'person', 'a', 've', '@@##get', '@@##arian', '@@?']",yes,"['Is', 'this', 'person', 'a', '[MASK]', '@@?']",no
VG_903901,vg_000002319056.npz,"['What', 'color', 'is', 'the', 'man', ""@@'"", '@@s', 'shorts', '@@?']",blue and white,"['What', 'color', 'is', 'the', '[MASK]', 'shorts', '@@?']",blue
VG_1041481,vg_000000061528.npz,"['What', 'looks', 'like', 'w', '@@##his', '@@##kers', '@@?']",ears,"['What', 'looks', 'like', '[MASK]', '@@?']",giraffe
499760002,coco_train2014_000000499760.npz,"['What', 'color', 'is', 'the', 'man', ""@@'"", '@@s', 'beard', '@@?']",brown,"['What', 'color', 'is', 'the', '[MASK]', 'beard', '@@?']",white
VG_1003180,vg_000000150396.npz,"['What', 'is', 'the', 'up', '@@##hol', '@@##stered', 'object', 'in', 'the', 'center', 'of', 'the', 'room', 'being', 'used', 'as', '@@?']",couch,"['What', 'is', 'the', '[MASK]', 'object', 'in', 'the', 'center', 'of', 'the', 'room', 'being', 'used', 'as', '@@?']",coffee table
197218000,coco_train2014_000000197218.npz,"['Are', 'the', 'sleeves', 'on', 'the', 'girl', ""@@'"", '@@s', 'shirt', 'long', 'or', 'short', '@@?']",short,"['Are', 'the', 'sleeves', 'on', 'the', '[MASK]', 'shirt', 'long', 'or', 'short', '@@?']",long
409669001,coco_train2014_000000409669.npz,"['What', 'is', 'the', 'snow', '@@##board', '@@##er', 'doing', 'on', 'the', 'hand', '@@##rail', '@@?']",jumping,"['What', 'is', 'the', '[MASK]', 'doing', 'on', 'the', 'hand', '##rail', '@@?']",snowboarding
456876005,coco_train2014_000000456876.npz,"['What', 'is', 'parked', 'next', 'to', 'the', 'motor', '@@##bi', '@@##ke', '@@?']",car,"['What', 'is', 'parked', 'next', 'to', 'the', '[MASK]', '@@?']",motorcycle
487612001,coco_val2014_000000487612.npz,"['Is', 'there', 'an', 'o', '@@##ct', '@@##opus', '@@?']",no,"['Is', 'there', 'an', '[MASK]', '@@?']",yes
