VG_1529647,vg_000002399357.npz,"['What', 'number', 'of', 'g', '@@##ira', '@@##ffe', '@@##s', 'are', 'in', 'the', 'field', '@@?']",2,"['What', 'number', 'of', 'animals', 'are', 'in', 'the', 'field', '@@?']",4
VG_181587,vg_000002409350.npz,"['What', 'is', 'the', 'lights', '@@##our', '@@##ce', '@@?']",sunlight,"['What', 'is', 'the', 'zoo', '@@?']",zoo
179191000,coco_val2014_000000179191.npz,"['What', 'are', 'the', 'tie', ""@@'"", '@@s', 'made', 'of', '@@?']",silk,"['What', 'are', 'the', 'ties', 'made', 'of', '@@?']",cotton
66632001,coco_val2014_000000066632.npz,"['Is', 'there', 'a', 'fi', '@@##gu', '@@##rine', '@@?']",no,"['Is', 'there', 'a', 'spoon', '@@?']",yes
VG_649106,vg_000002342948.npz,"['What', 'is', 'in', 'the', 'man', ""@@'"", '@@s', 'hand', '@@?']",tennis racket,"['What', 'is', 'in', 'the', 'other', 'hand', '@@?']",racket
VG_472932,vg_000002404954.npz,"['How', 'many', 'g', '@@##ira', '@@##ffe', '@@##s', '@@?']",2,"['How', 'many', 'animals', '@@?']",4
VG_1704179,vg_000002363562.npz,"['What', ""@@'"", '@@s', 'on', 'the', 'plate', '@@?']",sandwich,"['sandwich', 'on', 'the', 'plate', '@@?']",yes
VG_1110322,vg_000002410397.npz,"['What', 'color', 'is', 'the', 'girl', ""@@'"", '@@s', 'shirt', '@@?']",pink,"['What', 'color', 'is', 'the', 'pink', 'shirt', '@@?']",purple
VG_412679,vg_000002398676.npz,"['What', 'color', 'is', 'the', 'man', ""@@'"", '@@s', 'hair', '@@?']",brown,"['What', 'color', 'is', 'the', 'facial', 'hair', '@@?']",white
VG_1372362,vg_000002393192.npz,"['Where', 'is', 'above', 'the', 'g', '@@##ira', '@@##ffe', '@@?']",tree,"['Where', 'is', 'above', 'the', 'ground', '@@?']",sky
516733001,coco_val2014_000000516733.npz,"['Why', 'is', 'he', 'sq', '@@##ua', '@@##tting', '@@?']",catching,"['Why', 'is', 'he', 'throwing', '@@?']",to hit ball
VG_603699,vg_000002399708.npz,"['What', 'color', 'is', 'the', 'wet', '@@##sui', '@@##t', '@@?']",black,"['What', 'color', 'is', 'the', 'water', '@@?']",blue
364797003,coco_train2014_000000364797.npz,"['Do', 'you', 'see', 'any', 'grape', '@@##f', '@@##ruit', '@@?']",no,"['Do', 'you', 'see', 'any', 'fruits', '@@?']",yes
VG_1019120,vg_000002414124.npz,"['What', 'color', 'is', 'the', 'r', '@@##ac', '@@##quet', '@@?']",red,"['What', 'color', 'is', 'the', 'shirt', '@@?']",green
365709010,coco_val2014_000000365709.npz,"['How', 'many', 'Letters', '@@""', '@@s', 'are', 'there', '@@?']",4,"['How', 'many', 'cars', 'are', 'there', '@@?']",3
28093002,coco_train2014_000000028093.npz,"['How', 'many', 'g', '@@##ira', '@@##ffe', '@@##s', 'are', 'shown', '@@?']",1,"['How', 'many', 'trees', 'are', 'shown', '@@?']",many
